run_id,day,event,content,mental_state,personality,seed,condition,run_type
sanity_52_baseline_seed42,1,training,"Agent_0ef32 trained in the village: +1 health, +1 attack, +0 defense.",determined,cautious,42,baseline,sanity_52
sanity_52_baseline_seed42,1,training,"Agent_2c1c9 trained in the village: +2 health, +0 attack, +0 defense.",hopeful,aggressive,42,baseline,sanity_52
sanity_52_baseline_seed42,1,training,"Agent_39fea trained in the village: +1 health, +0 attack, +0 defense.",determined,curious,42,baseline,sanity_52
sanity_52_baseline_seed42,1,intent,Agent_b6137 is preparing to fight the Entity.,calm,curious,42,baseline,sanity_52
sanity_52_baseline_seed42,1,rest,Agent_93bd4 took time to rest and feels more at peace.,calm,empathetic,42,baseline,sanity_52
sanity_52_baseline_seed42,1,intent,Agent_e8cbc is preparing to fight the Entity.,hopeful,cautious,42,baseline,sanity_52
sanity_52_baseline_seed42,1,dialogue,"Agent_074b3 talks with Agent_c887d: ""Agent_074b3: ""Hey c887d, have you heard anything about the Entity lately?""""",hopeful,cautious,42,baseline,sanity_52
sanity_52_baseline_seed42,1,training,"Agent_c887d trained in the village: +1 health, +0 attack, +1 defense.",hopeful,cautious,42,baseline,sanity_52
sanity_52_baseline_seed42,1,training,"Agent_a3ac5 trained in the village: +2 health, +1 attack, +0 defense.",determined,aggressive,42,baseline,sanity_52
sanity_52_baseline_seed42,1,intent,Agent_867dc is preparing to fight the Entity.,hopeful,empathetic,42,baseline,sanity_52
sanity_52_baseline_seed42,1,intent,Agent_e6458 is preparing to fight the Entity.,hopeful,cautious,42,baseline,sanity_52
sanity_52_baseline_seed42,1,intent,Agent_b37b9 is preparing to fight the Entity.,calm,empathetic,42,baseline,sanity_52
sanity_52_baseline_seed42,1,intent,Agent_fc68c is preparing to fight the Entity.,anxious,brave,42,baseline,sanity_52
sanity_52_baseline_seed42,2,training,"Agent_0ef32 trained in the village: +1 health, +0 attack, +1 defense.",determined,cautious,42,baseline,sanity_52
sanity_52_baseline_seed42,2,training,"Agent_5cdf9 trained in the village: +1 health, +1 attack, +0 defense.",determined,brave,42,baseline,sanity_52
sanity_52_baseline_seed42,2,training,"Agent_2c1c9 trained in the village: +1 health, +0 attack, +0 defense.",hopeful,aggressive,42,baseline,sanity_52
sanity_52_baseline_seed42,2,training,"Agent_39fea trained in the village: +2 health, +1 attack, +1 defense.",determined,curious,42,baseline,sanity_52
