dpy,mental_state,personality,metric,n_base,n_trauma,median_base,median_trauma,delta_median,mean_base,mean_trauma,delta_mean,mwu_p,cliffs_d,note
1,afraid,aggressive,tb_polarity,11,9,0.0,0.0,0.0,-0.0426,-0.1528,-0.1101,0.5238,0.1717,
1,afraid,aggressive,vader_compound,11,9,0.0,0.0,0.0,-0.0485,-0.0045,0.044,0.9374,-0.0303,
1,afraid,brave,tb_polarity,17,22,0.0,-0.0117,-0.0117,-0.0675,-0.0364,0.0311,0.9773,-0.008,
1,afraid,brave,vader_compound,17,22,0.0,-0.1526,-0.1526,-0.0215,-0.0808,-0.0594,0.8648,0.0348,
1,afraid,cautious,tb_polarity,24,26,0.0,0.0,0.0,-0.0582,-0.0683,-0.01,0.7758,-0.0481,
1,afraid,cautious,vader_compound,24,26,-0.4404,0.0,0.4404,-0.3203,-0.0324,0.2879,0.0343,-0.3494,
1,afraid,curious,tb_polarity,42,37,-0.0398,0.0,0.0398,-0.1193,-0.015,0.1043,0.0323,-0.2799,
1,afraid,curious,vader_compound,42,37,0.0,0.0,0.0,0.0316,0.0193,-0.0123,0.8163,0.0309,
1,afraid,empathetic,tb_polarity,17,13,0.0,0.0,0.0,-0.0583,-0.1183,-0.06,0.9664,-0.0136,
1,afraid,empathetic,vader_compound,17,13,0.0,0.3415,0.3415,-0.0339,0.3657,0.3996,0.0266,-0.4751,
1,anxious,aggressive,tb_polarity,15,15,0.0,0.0,0.0,-0.0026,-0.0728,-0.0702,0.2931,0.2222,
1,anxious,aggressive,vader_compound,15,15,-0.1603,0.0,0.1603,-0.1187,-0.165,-0.0463,0.8649,-0.04,
1,anxious,brave,tb_polarity,16,17,0.0,0.0,0.0,0.0235,0.0884,0.0649,0.1514,-0.2757,
1,anxious,brave,vader_compound,16,17,0.0129,0.0,-0.0129,0.111,0.0486,-0.0623,0.5004,0.1397,
1,anxious,cautious,tb_polarity,26,22,0.0,0.0,0.0,0.0929,0.0225,-0.0704,0.3093,0.1696,
